date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:23	1626/1626	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-2625da94de913f3a;br%22	https://amzpubl.com/robots.txt		(from )
09:24:23	306600/306600	---MCZ	200	added ('OK')	text/html	etag:%224ada8-699f747c-2108d9895eedba32;br%22	https://amzpubl.com/	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/index.html	(from )
09:24:23	320/320	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Sep%202026%2016:24:24%20GMT	https://amzpubl.com/assets/images/fav.png	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/images/fav.png	(from https://amzpubl.com/)
09:24:24	498515/498515	---M-Z	200	added ('OK')	text/css	etag:%2279b53-699f7480-f9a916d0c6c668bb;br%22	https://amzpubl.com/assets/css/plugins/fontawesome-6.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/css/plugins/fontawesome-6.css	(from https://amzpubl.com/)
09:24:24	20482/20482	---M-Z	200	added ('OK')	text/css	etag:%225002-699f7480-7250f56ecb233f4b;br%22	https://amzpubl.com/assets/css/plugins/swiper.min.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/css/plugins/swiper.min.css	(from https://amzpubl.com/)
09:24:24	3589/3589	---M-Z	200	added ('OK')	text/css	etag:%22e05-699f7481-816164b961d112eb;br%22	https://amzpubl.com/assets/css/vendor/metismenu.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/css/vendor/metismenu.css	(from https://amzpubl.com/)
09:24:24	82527/82527	---M-Z	200	added ('OK')	text/css	etag:%221425f-699f7480-e49d5d9348965263;br%22	https://amzpubl.com/assets/css/plugins/animate.min.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/css/plugins/animate.min.css	(from https://amzpubl.com/)
09:24:24	213827/213827	---M-Z	200	added ('OK')	text/css	etag:%2234343-699f7480-992f4b50c490c721;br%22	https://amzpubl.com/assets/css/vendor/bootstrap.min.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/css/vendor/bootstrap.min.css	(from https://amzpubl.com/)
09:24:25	587784/587784	---M-Z	200	added ('OK')	text/css	etag:%228f808-699f747e-c97273f01182abde;br%22	https://amzpubl.com/assets/css/style.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/css/style.css	(from https://amzpubl.com/)
09:24:25	3351/3351	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2016:04:00%20GMT	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://amzpubl.com/)
09:24:26	1013/1013	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2016:04:00%20GMT	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://amzpubl.com/)
09:24:27	415673/415673	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2007%20Sep%202026%2016:24:26%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/connect.facebook.net/en_US/fbevents.js	(from https://amzpubl.com/)
09:24:27	306600/306600	---MCZ	200	added ('OK')	text/html	etag:%224ada8-699f747c-2108d9895eedba32;br%22	https://amzpubl.com/index.html	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/index-2.html	(from https://amzpubl.com/)
09:24:27	50649/50649	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c5d9-699f748c-d31d954f7e1242f7;br%22	https://amzpubl.com/assets/images/logo/03.svg	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/images/logo/03.svg	(from https://amzpubl.com/)
09:24:28	48340/48340	---M-Z	200	added ('OK')	image/svg+xml	etag:%22bcd4-699f748c-ae6a2f002aa0c006;br%22	https://amzpubl.com/assets/images/logo/02.svg	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/assets/images/logo/02.svg	(from https://amzpubl.com/)
09:24:28	50477/50477	---MCZ	200	added ('OK')	text/html	etag:%22c52d-699f768b-a72ae119d4c489bf;br%22	https://amzpubl.com/about.html	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/about.html	(from https://amzpubl.com/)
09:24:28	37730/37730	---MCZ	200	added ('OK')	text/html	etag:%229362-699f747c-aaaa398c647140c6;br%22	https://amzpubl.com/pricing.html	C:/Users/CTD97/Desktop/publishing%20brand%20clone/Publishing%20Brand/amzpubl.com/pricing.html	(from https://amzpubl.com/)
